Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Elastic reverse time migration based on nested triangular mesh in 2D isotropic media","The grid method based on nested unstructured meshes effectively implements elastic reverse time migration with complex surface topography, ensuring accurate reconstruction and high computational efficiency.","Yongming Lu, Tao Lei, Qiancheng Liu, Jianfeng Zhang, Nan Zang",2024,1,"
 Reverse time migration (RTM) based on two-way wave equation is an important imaging tool, which has been widely used in exploration geophysics. It offers distinct advantages in handling complex geological structures. Moreover, elastic reverse time migration (ERTM) can produce more physically meaningful images for subsurface and has received increasing attention in recent years. However, rugged topography presents challenges in the reconstruction of subsurface structures for ERTM. To overcome this problem, we introduce the grid method for topography ERTM, which is an unstructured mesh based algorithm. However, the conventional gird method for RTM is implementing by discretizing model into small meshes, leading to high computational cost. To address this problem, we introduce the grid method based on nested unstructured meshes to implement ERTM with complex surface topography. Low-order small meshes, due to their fine scale, can accurately depict complex surface topography. However, their generation process is relatively time-consuming. In contrast, high-order large meshes contain many similar small meshes internally, which can be processed in parallel, resulting in higher computational efficiency. Therefore, we propose the following strategy: for the receiver wavefield, several layers on surface discreted by the small meshes are used to place receivers and remaining layers discreted by the large meshes to improve computational efficiency. For the source wavefield, only the large meshes are used because the spacing of shot is relatively large. In this way, we ensure the accurate description of complex surface topography for the implementation of ERTM with high computational efficiency. Finally, the effectiveness of our method is validated through experiments on three models with complex topography.","theoretical, modeling, or simulation study","Journal of Geophysics and Engineering","2","10.1093/jge/gxae058","https://consensus.app/papers/elastic-reverse-time-migration-based-on-nested-triangular-lu-lei/5c7beafef6145d7491c62659cd5256a9/"
"Mesh-free radial-basis-function-generated finite differences and their application in reverse time migration","The mesh-free reverse time migration method reduces scattered noise and simplifies grid generation, providing more accurate imaging results for complex geologic conditions.","Han Wu, Chengyu Sun, Shizhong Li, Jie Tang, Ning Xu",2020,6,"Compared with one-way wave equation migration and ray-based migration, reverse time migration (RTM) using two-way wave propagation information can produce accurate imaging results for complex structures. Its computational accuracy and efficiency are mainly determined by numerical methods for wavefield simulation. When using traditional regular grids for seismic modeling, scattering artifacts may occur due to the stepped approximation of layer interfaces and rugged topography. On the other hand, irregular grids require a complex grid generation algorithm, despite having certain geometric flexibility. Mesh-free RTM can effectively reduce the scattered noise under regular grids and avoid the extra computation in the process of irregular grid generation. For implementation of the mesh-free RTM method, an algorithm with fast generation of node distributions is used to discretize the underground velocity model, and radial-basis-function-generated finite difference is used to realize the numerical simulation of wave propagation; the crosscorrelation imaging condition is adopted for imaging. The mesh-free RTM method, which has the flexibility of the simulation region and an abundance of wavefield information, reduces the storage required for RTM, shows the potential of high-accuracy migration in the case of an undulating surface, and provides more accurate migration imaging results for oil and gas exploration under complex geologic conditions.","theoretical, modeling, or simulation study","Geophysics","1","10.1190/geo2020-0015.1","https://consensus.app/papers/meshfree-radialbasisfunctiongenerated-finite-wu-sun/fad7d80f8ea05d2cb2ebc688b5248104/"
"Parallel three-dimensional magnetotelluric inversion using adaptive finite-element method. Part I: theory and synthetic study","The adaptive finite-element method-based magnetotelluric inversion scheme effectively resolves complex shapes and survey layouts, with significant computational savings achieved using locally refined decoupled meshes.","A. Grayver",2015,83,"S U M M A R Y This paper presents a distributed magnetotelluric inversion scheme based on adaptive finiteelement method (FEM). The key novel aspect of the introduced algorithm is the use of automatic mesh refinement techniques for both forward and inverse modelling. These techniques alleviate tedious and subjective procedure of choosing a suitable model parametrization. To avoid overparametrization, meshes for forward and inverse problems were decoupled. For calculation of accurate electromagnetic (EM) responses, automatic mesh refinement algorithm based on a goal-oriented error estimator has been adopted. For further efficiency gain, EM fields for each frequency were calculated using independent meshes in order to account for substantially different spatial behaviour of the fields over a wide range of frequencies. An automatic approach for efficient initial mesh design in inverse problems based on linearized model resolution matrix was developed. To make this algorithm suitable for large-scale problems, it was proposed to use a low-rank approximation of the linearized model resolution matrix. In order to fill a gap between initial and true model complexities and resolve emerging 3-D structures better, an algorithm for adaptive inverse mesh refinement was derived. Within this algorithm, spatial variations of the imaged parameter are calculated and mesh is refined in the neighborhoods of points with the largest variations. A series of numerical tests were performed to demonstrate the utility of the presented algorithms. Adaptive mesh refinement based on the model resolution estimates provides an efficient tool to derive initial meshes which account for arbitrary survey layouts, data types, frequency content and measurement uncertainties. Furthermore, the algorithm is capable to deliver meshes suitable to resolve features on multiple scales while keeping number of unknowns low. However, such meshes exhibit dependency on an initial model guess. Additionally, it is demonstrated that the adaptive mesh refinement can be particularly efficient in resolving complex shapes. The implemented inversion scheme was able to resolve a hemisphere object with sufficient resolution starting from a coarse discretization and refining mesh adaptively in a fully automatic process. The code is able to harness the computational power of modern distributed platforms and is shown to work with models consisting of millions of degrees of freedom. Significant computational savings were achieved by using locally refined decoupled meshes.","theoretical, modeling, or simulation study","Geophysical Journal International","1","10.1093/gji/ggv165","https://consensus.app/papers/parallel-threedimensional-magnetotelluric-inversion-grayver/d020fa09574b56338f3406d2d508fa9a/"
"Distributed tomography with adaptive mesh refinement in sensor networks","Our distributed adaptive mesh refinement AMR solution improves seismic tomography in dense networks, reducing communication overhead and improving convergence rate compared to centralised methods.","Goutham Kamath, Lei Shi, E. Chow, Wenzhan Song",2016,7,"Existing seismic instrumentation systems do not yet have the capability to recover the physical dynamics with sufficient resolution in real time. Currently, seismologists use centralised tomography inversion algorithm, which requires manual data gathering from each station and months to generate tomography. To address these issues a distributed approach is required which can avoid data collection from large number of sensors and perform in-network imaging to real-time tomography. In this paper, we present a distributed adaptive mesh refinement AMR solution to invert seismic tomography over large dense network, which avoids centralised computation and expensive data collection. Our approach first discretises the data and filters them using adaptive mesh to make it well-conditioned. The system is implemented and evaluated using a CORE emulator and we show that the filtered well-conditioned system has lower dimension and improved convergence rate than the original system, thereby decreasing the communication overhead over the network.","theoretical, modeling, or simulation study","Int. J. Sens. Networks","","10.1504/ijsnet.2017.10001514","https://consensus.app/papers/distributed-tomography-with-adaptive-mesh-refinement-in-kamath-shi/7b60b0a4e8d25385ba3ab891fafea09a/"
"Whole Earth Full-Waveform Inversion With Wavefield Adapted Meshes","Wavefield adapted meshing and stochastic optimization significantly reduce computational costs and the number of simulations needed for full-waveform inversion, enabling global scale inversions.","Solvi Thrastarson, Dirk-Philip van Herwaarden, L. Krischer, C. Boehm, M. van Driel, M. Afanasiev, A. Fichtner",2020,0,"
 <p>With the steadily increasing availability and density of seismic data, full-waveform inversion (FWI) can reveal the Earth's subsurface with unprecedented resolution. FWI, however, carries a significant computational burden. Even with the ever-increasing power of high-performance computing resources, these massive compute requirements inhibit substantial progress, and require algorithmic and technological innovations for global and continental scale inversions.<br>In this contribution, we present an approach to FWI where we achieve significant computational savings through wavefield adapted meshing [1] combined with a stochastic optimization scheme [2]. This twofold strategy allows us (a) to solve the wave equation at lower costs, and (b) to reduce the number of required simulations. In laterally smooth media, we can construct meshes which are adapted to the expected complexity of the wavefield. By optimally designing a unique mesh for each source, we can reduce the computational cost of the forward and adjoint simulations by an order of magnitude. The stochastic optimization scheme is based on a dynamic mini-batch L-BFGS approach, which adaptively subsamples the event catalogue and requires significantly fewer wavefield simulations to converge to a model than conventional FWI. An additional benefit of the dynamic mini-batches is that they seamlessly allow for the inclusion of more sources in an inversion without a considerable additional computational cost.<br>We demonstrate a prototype FWI for this approach towards a global scale inversion with real data.<br><br>[1] Thrastarson, S., van Driel, M., Krischer, L., Afanasiev, M., Boehm, C., van Herwaarden, DP., Fichtner, A., 2019. Accelerating numerical wave propagation by wavefield adapted meshes, Part II: Full-waveform inversion. <em>Submitted to Geophysical Journal International</em><br>[2] van Herwaarden, DP., Boehm, C., Afanasiev, M., Krischer, L., van Driel, M., Thrastarson, S., Trampert, J., Fichtner, A. 2019. Accelerated full-waveform inversion using dynamic mini-batches. <em>Submitted to Geophysical Journal International</em></p>
","theoretical, modeling, or simulation study","","","10.5194/egusphere-egu2020-18459","https://consensus.app/papers/whole-earth-fullwaveform-inversion-with-wavefield-thrastarson-herwaarden/fe0669b24eb554b4a1b9214ffdf2c930/"
"Spatial Mesh Refinement using Cubic Smoothing Spline Interpolation in Simulation of 2-D Elastic Wave Equation: Forward Modeling of Full-waveform Inversion","The mesh refinement approach using cubic smoothing spline interpolation improves the accuracy of full-waveform inversion in the presence of small-scale heterogeneities compared to the classic finite difference approach.","Amila Sudu Ambegedara, U. Udagedara, E. Bollt",2021,1,"Full-waveform inversion (FWI) is a non-destructive health monitoring technique that can be used to identify and quantify the embedded anomalies. The forward modeling of the FWI consists of a simulation of elastic wave equation to generate synthetic data. Thus the accuracy of the FWI method highly depends on the simulation method used in the forward modeling. Simulation of a 3-D seismic survey with small-scale heterogeneities is impossible with the classic finite difference approach even on modern super computers. In this work, we adopted a mesh refinement approach for simulation of the wave equation in the presence of small-scale heterogeneities. This approach uses cubic smoothing spline interpolation for spatial mesh refinement step in solving the wave equation. The simulation results for the 2-D elastic wave equation are presented and compared with the classic finite difference approach.","theoretical, modeling, or simulation study","","","10.9734/jamcs/2021/v36i530364","https://consensus.app/papers/spatial-mesh-refinement-using-cubic-smoothing-spline-ambegedara-udagedara/8295adc9ea4359ed9cd70795c2968e06/"
"Full Strata Seismic Waveform Inversion With Adaptive Iteration","Adaptive iteration significantly reduces computational load and improves seismic inversion accuracy in oil reservoir exploration, offering cost savings and accurate estimation of deep strata information.","Wenge Liu, Qisong Mou, Gulan Zhang, W. Tu, Haoze Qin",2024,2,"In the oil and gas exploration, delineating the tectonic structure of geological targets and predicting physical properties are paramount. As we all know, seismic velocity modeling is crucial for characterizing reservoirs. Enhancing seismic inversion accuracy to obtain quantitative parameters is vital in oil reservoir exploration. Current seismic waveform inversion utilizes the amplitude and timing of seismic records to reconstruct the velocity model, thereby refining the model for seismic migration. This article addresses the convergence and computational challenges in conventional inversion by proposing an adaptive iteration method for step updates. This method outperforms inexact linear searches and empirical formulas by updating the model effectively without additional seismic simulations. In the past, gradient optimization typically requires three seismic modeling in a single iteration, whereas adaptive iteration only requires two, offering practical cost savings. To address stability issues in complex scenarios, we combine parabolic search with adaptive iteration, which is the modified optimization technique, to enhance the convergence rate of objective function. Furthermore, by employing gradient preconditioning based on illumination and multigrid strategy, we achieve full strata velocity modeling from shallow to deep layers. Numerical tests on the theoretical anomaly model and BP model validate the effectiveness and precision of the adaptive iteration, significantly reducing the computational load of seismic inversion and accurately estimating deep strata information.","theoretical, modeling, or simulation study","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2024.3394893","https://consensus.app/papers/full-strata-seismic-waveform-inversion-with-adaptive-liu-mou/17e69af343b85b629077f0d5f4a2f236/"
"spyro: a Firedrake-based wave propagation and full-waveform-inversion finite-element solver","Spyro, a Firedrake-based finite-element solver, can reduce the number of degrees of freedom needed for discretizing the domain in seismic velocity model building.","K. J. Roberts, Alexandre Olender, L. Franceschini, R. Kirby, R. Gioria, B. Carmo",2022,9,"Abstract. In this article, we introduce spyro, a software stack to solve wave propagation in heterogeneous domains and perform full waveform inversion (FWI) employing the finite-element framework from Firedrake, a high-level Python package for the automated solution of partial differential equations using the finite-element method. The capability of the software is demonstrated by using a continuous Galerkin approach to perform FWI for seismic velocity model building, considering realistic geophysics examples. A time domain FWI approach that uses meshes composed of variably sized triangular elements to discretize the domain is detailed. To resolve both the forward and adjoint-state equations and to calculate a mesh-independent gradient associated with the FWI process, a fully explicit, variable higher-order (up to degree k=5 in 2D and k=3 in 3D) mass-lumping method is used. We show that, by adapting the triangular elements to the expected peak source frequency and properties of the wave field (e.g., local P-wave speed) and by leveraging higher-order basis functions, the number of degrees of freedom necessary to discretize the domain can be reduced. Results from wave simulations and FWIs in both 2D and 3D highlight our developments and demonstrate the benefits and challenges with using triangular meshes adapted to the material properties.
","theoretical, modeling, or simulation study","Geoscientific Model Development","1","10.5194/gmd-15-8639-2022","https://consensus.app/papers/spyro-a-firedrakebased-wave-propagation-and-roberts-olender/555552220ec95a52bddec8c6e5d6d3cc/"
"A review on reflection-waveform inversion","Reflection-waveform inversion (RWI) improves full-waveform inversion by using reflections to recover background velocity and deep reservoir information in seismic data imaging and Earth model building.","G. Yao, Di Wu, Shangxu Wang",2020,105,"Full-waveform inversion (FWI) utilizes optimization methods to recover an optimal Earth model to best fit the observed seismic record in a sense of a predefined norm. Since FWI combines mathematic inversion and full-wave equations, it has been recognized as one of the key methods for seismic data imaging and Earth model building in the fields of global/regional and exploration seismology. Unfortunately, conventional FWI fixes background velocity mainly relying on refraction and turning waves that are commonly rich in large offsets. By contrast, reflections in the short offsets mainly contribute to the reconstruction of the high-resolution interfaces. Restricted by acquisition geometries, refractions and turning waves in the record usually have limited penetration depth, which may not reach oil/gas reservoirs. Thus, reflections in the record are the only source that carries the information of these reservoirs. Consequently, it is meaningful to develop reflection-waveform inversion (RWI) that utilizes reflections to recover background velocity including the deep part of the model. This review paper includes: analyzing the weaknesses of FWI when inverting reflections; overviewing the principles of RWI, including separation of the tomography and migration components, the objective functions, constraints; summarizing the current status of the technique of RWI; outlooking the future of RWI.","","Petroleum Science","1","10.1007/s12182-020-00431-3","https://consensus.app/papers/a-review-on-reflectionwaveform-inversion-yao-wu/95d0ce1d28af599da330cf3c368d9a8f/"
"Metrics for Performance Quantification of Adaptive Mesh Refinement","Adaptive mesh refinement improves numerical simulation performance in geophysical simulations, reducing computational complexity and enhancing spatial resolution.","N. Beisiegel, C. Castro, J. Behrens",2021,12,"Non-uniform, dynamically adaptive meshes are a useful tool for reducing computational complexities for geophysical simulations that exhibit strongly localised features such as is the case for tsunami, hurricane or typhoon prediction. Using the example of a shallow water solver, this study explores a set of metrics as a tool to distinguish the performance of numerical methods using adaptively refined versus uniform meshes independent of computational architecture or implementation. These metrics allow us to quantify how a numerical simulation benefits from the use of adaptive mesh refinement. The type of meshes we are focusing on are adaptive triangular meshes that are non-uniform and structured. Refinement is controlled by physics-based indicators that capture relevant physical processes and determine the areas of mesh refinement and coarsening. The proposed performance metrics take into account a number of characteristics of numerical simulations such as numerical errors, spatial resolution, as well as computing time. Using a number of test cases we demonstrate that correlating different quantities offers insight into computational overhead, the distribution of numerical error across various mesh resolutions as well as the evolution of numerical error and run-time per degree of freedom.","","Journal of Scientific Computing","1","10.1007/s10915-021-01423-0","https://consensus.app/papers/metrics-for-performance-quantification-of-adaptive-mesh-beisiegel-castro/238f79b04321525799d99709465e58e6/"
