Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Local adaptive mesh refinement for shock hydrodynamics","This research develops an adaptive mesh refinement strategy for solving hyperbolic conservation laws in two dimensions, addressing discontinuities and minimizing memory and CPU overhead.","M. Berger, P. Colella",1989,2860,"","other","Journal of Computational Physics","1","10.1016/0021-9991(89)90035-1","https://consensus.app/papers/local-adaptive-mesh-refinement-for-shock-hydrodynamics-berger-colella/5117d78ef4d657f6b292ba1019641eba/"
"Adaptive mesh refinement in semi-implicit particle-in-cell method","Our adaptive mesh refinement algorithm significantly accelerates particle-in-cell simulations, providing accurate solutions with significant speed-up compared to uniform high-resolution grids.","Talha Arshad, Yuxi Chen, Gábor Tóth",2025,4,"","theoretical, modeling, or simulation study","Comput. Phys. Commun.","","10.1016/j.cpc.2025.109806","https://consensus.app/papers/adaptive-mesh-refinement-in-semiimplicit-particleincell-arshad-chen/d49d238483ac551e834eb6989aea30a7/"
"A multi‐level adaptive mesh refinement method for level set simulations of multiphase flow on unstructured meshes","The adaptive mesh refinement technique improves accuracy and speed in level set simulations of incompressible multiphase flows on unstructured meshes, making it four times faster than non-adaptive methods.","Long Cu Ngo, H. Choi",2017,12,"An adaptive mesh refinement (AMR) technique is proposed for level set simulations of incompressible multiphase flows. The present AMR technique is implemented for two‐dimensional/three‐dimensional unstructured meshes and extended to multi‐level refinement. Smooth variation of the element size is guaranteed near the interface region with the use of multi‐level refinement. A Courant–Friedrich–Lewy condition for zone adaption frequency is newly introduced to obtain a mass‐conservative solution of incompressible multiphase flows. Finite elements around the interface are dynamically refined using the classical element subdivision method. Accordingly, finite element method is employed to solve the problems governed by the incompressible Navier–Stokes equations, using the level set method for dynamically updated meshes. The accuracy of the adaptive solutions is found to be comparable with that of non‐adaptive solutions only if a similar mesh resolution near the interface is provided. Because of the substantial reduction in the total number of nodes, the adaptive simulations with two‐level refinement used to solve the incompressible Navier–Stokes equations with a free surface are about four times faster than the non‐adaptive ones. Further, the overhead of the present AMR procedure is found to be very small, as compared with the total CPU time for an adaptive simulation. Copyright © 2016 John Wiley & Sons, Ltd.","theoretical, modeling, or simulation study","International Journal for Numerical Methods in Engineering","1","10.1002/nme.5442","https://consensus.app/papers/a-multi%E2%80%90level-adaptive-mesh-refinement-method-for-level-ngo-choi/e758230f95c2540981ef787296c18a93/"
"Cell‐based hybrid adaptive mesh refinement algorithm for immersed boundary method","The proposed hybrid adaptive mesh refinement algorithm for the immersed boundary method improves computational efficiency and accuracy in solving complex flow features.","Vignesh Saravanan, Hanahchim Choung, Soogab Lee",2021,6,"This article proposes a hybrid adaptive mesh refinement (AMR) algorithm for the immersed boundary method (IBM) combination, and the AMR code is split into mesh and physics codes to optimize each part individually. The uniform parent grid solver is used for AMR grids by constructing hanging cells for the high‐order extension. The restrictive spatial refinement in a fully threaded tree (FTT) data structure is explored, and a simplified stencil search algorithm for hanging cells construction is introduced, including current and following child AMR level cells, if any. The proposed AMR method was applied to IBM, which offers flexibility in treating complex geometries in the Cartesian grid, leading to algorithmic simplicity and computational efficiency. Local near immersed boundary refinement is proposed to avoid complex and computationally expensive IBM and AMR algorithms near the solid bodies. Finally, a high‐order flux scheme extension at AMR level transition cells and the proposed method's applicability for steady and transient flows are demonstrated. Besides state and flux variables storage, the proposed hybrid AMR method's additional cost is 4.5 words/cell instead of 3.5 words/cell for 2D and 3.75 words/cell instead of 2.75 words/cell for 3D compared to the conventional FTT‐based AMR method. By comparing the uniform grid, the AMR final grid distribution shows that the optimal cell distribution based on flow physics reduces the cells required by more than 40% to resolve the complex flow features in less computational time. The enhanced performance and accuracy of the proposed AMR method in resolving different scale flow features are validated through benchmark problems.","theoretical, modeling, or simulation study","International Journal for Numerical Methods in Fluids","1","10.1002/fld.5054","https://consensus.app/papers/cell%E2%80%90based-hybrid-adaptive-mesh-refinement-algorithm-for-saravanan-choung/44c4a0386c9f562c8d8ba8ecd0137a95/"
"Dominant balance-based adaptive mesh refinement for incompressible fluid flows","The dominant balance analysis-based adaptive mesh refinement method reduces computational costs by up to 70% while maintaining accuracy in computational fluid dynamics simulations.","Gaurav Kumar, Aditya G. Nair",2024,3,"","theoretical, modeling, or simulation study","J. Comput. Phys.","1","10.1016/j.jcp.2025.114522","https://consensus.app/papers/dominant-balancebased-adaptive-mesh-refinement-for-kumar-nair/bbdb0643281c5e348afdfb79fc706e61/"
"Structured Adaptive Mesh Refinement Adaptations to Retain Performance Portability With Increasing Heterogeneity","Adaptive mesh refinement (AMR) can improve performance in mesh-based applications, but maintaining performance portability with increasing heterogeneity in hardware architecture requires a structured approach.","Anshuk Dubey, M. Berzins, Carsten Burstedde, M. Norman, D. Unat, M. Wahib, K. Hinsen, Anshuk Dubey",2021,8,"Adaptive mesh refinement (AMR) is an important method that enables many mesh-based applications to run at effectively higher resolution within limited computing resources by allowing high resolution only where really needed. This advantage comes at a cost, however: greater complexity in the mesh management machinery and challenges with load distribution. With the current trend of increasing heterogeneity in hardware architecture, AMR presents an orthogonal axis of complexity. The usual techniques, such as asynchronous communication and hierarchy management for parallelism and memory that are necessary to obtain reasonable performance are very challenging to reason about with AMR. Different groups working with AMR are bringing different approaches to this challenge. Here, we examine the design choices of several AMR codes and also the degree to which demands placed on them by their users influence these choices.","other","Computing in Science & Engineering","1","10.1109/mcse.2021.3099603","https://consensus.app/papers/structured-adaptive-mesh-refinement-adaptations-to-dubey-berzins/b3839707251f55a0a0875f23d6b26bf5/"
"Adaptive mesh refinement for VOF modeling gas-liquid two-phase flow: A summary of some algorithms and applications","Adaptive mesh refinement enhances the Volume-of-Fluid method (VOF) for gas-liquid two-phase flow simulation, improving computational efficiency without sacrificing accuracy.","Sheng-lin Yan, Xi‐Bao Zhang, Zheng-Hong Luo",2025,38,"","other","Chemical Engineering Science","1","10.1016/j.ces.2025.121291","https://consensus.app/papers/adaptive-mesh-refinement-for-vof-modeling-gasliquid-yan-zhang/f41052f72f3e5d0ca1c7d3e470216bd6/"
"Adaptive mesh refinement for simulating fluid‐structure interaction using a sharp interface immersed boundary method","Adaptive mesh refinement (AMR) effectively simulates fluid-structure interaction, providing smooth flow fields and computational efficiency while maintaining near-wall spatial resolution.","Zhuo Wang, L. Du, Xiaofeng Sun",2020,21,"In this article, adaptive mesh refinement (AMR) is performed to simulate flow around both stationary and moving boundaries. The finite‐difference approach is applied along with a sharp interface immersed boundary (IB) method. The Lagrangian polynomial is employed to facilitate the interpolation from a coarse to a fine grid level, while a weighted‐average formula is used to transfer variables inversely. To save memory, the finest grid is only generated in the local areas close to the wall boundary, and the mesh is dynamically reconstructed based on the location of the wall boundary. The Navier‐Stokes equations are numerically solved through the second‐order central difference scheme in space and the third‐order Runge‐Kutta time integration. Flow around a circular cylinder rotating in a square domain is firstly simulated to examine the accuracy and convergence rate. Then three cases are investigated to test the validity of the present method: flow past a stationary circular cylinder at low Reynolds numbers, flow past a forced oscillating circular cylinder in the transverse direction at various frequencies, and a free circular cylinder subjected to vortex‐induced vibration in two degrees of freedom. Computational results agree well with these in the literature and the flow fields are smooth around the interface of different refinement levels. The effect of refinement level has also been evaluated. In addition, a study for the computational efficiency shows that the AMR approach is helpful to reduce the total node number and speed up the time integration, which could prompt the application of the IB method when a great near‐wall spatial resolution is required.","theoretical, modeling, or simulation study","International Journal for Numerical Methods in Fluids","1","10.1002/fld.4853","https://consensus.app/papers/adaptive-mesh-refinement-for-simulating-fluid%E2%80%90structure-wang-du/c2e241639cd85aee94181b99002106f9/"
"Adaptive mesh refinement in the fast lane","This paper presents a new adaptive mesh refinement method that combines cell-based and patch-based approaches, resulting in improved performance and composability on next-generation hardware platforms.","Daniel Dunning, Daniel Dunning, W. Marts, W. Marts, R. W. Robey, P. Bridges",2020,11,"","other","Journal of Computational Physics","1","10.1016/j.jcp.2019.109193","https://consensus.app/papers/adaptive-mesh-refinement-in-the-fast-lane-dunning-dunning/c25864ad240352148989dd84d8f541e3/"
"An evaluation of accuracy and efficiency of a 3D adaptive mesh refinement method with analytical velocity fields","The 3D adaptive mesh refinement method accurately and efficiently improves the accuracy and convergence of computational fluid dynamics solvers.","Zhenquan Li, Rajnesh Lal",2023,0,"Appropriate mesh refinement plays a vital role in the accuracy and convergence of computational fluid dynamics solvers. This work is an extension of the previous work that further demonstrates the accuracy of the 3D adaptive mesh refinement method by comparing the accuracy measures between the ones derived from the analytical fields and those identified by the refined meshes. The adaptive mesh refinement method presented in this study is based on the law of mass conservation for three-dimensional incompressible or compressible steady fluid flows. The assessment of the performance of the adaptive mesh refinement method considers its key features such as drawing closed streamline and identification of singular points, asymptotic planes, and vortex axis. Several illustrative examples of the applications of the 3D mesh refinement method with a multi-level refinement confirm the accuracy and efficiency of the proposed method. Furthermore, the results demonstrate that the adaptive mesh refinement method can provide accurate and reliable qualitative measures of 3D computational fluid dynamics problems.","theoretical, modeling, or simulation study","International Journal of Computational Methods","2","10.1142/s0219876223410013","https://consensus.app/papers/an-evaluation-of-accuracy-and-efficiency-of-a-3d-adaptive-li-lal/a853b950dfd155c2ad10c6bf8df85718/"
